ISO code,Data Awal,Country and areas,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BDI,"BDI (Burundi): Longitude (lon) = 29,9189; Latitude (lat) = -3,3731",Burundi,Stunting,Proportion,Point Estimate,63,63,62,62,61,61,60,60,59,58,58,57,57,56,56,56,56,56,56,56,56,56,57
LBY,"LBY (Libya): Longitude (lon) = 17,2283; Latitude (lat) = 26,3351",Libya,Stunting,Proportion,Point Estimate,18,19,19,20,20,21,22,23,24,25,26,28,30,32,35,38,41,43,46,48,50,51,52
PNG,"PNG (Papua New Guinea): Longitude (lon) = 143,9555; Latitude (lat) = -6,3149",Papua New Guinea,Stunting,Proportion,Point Estimate,37,38,39,40,42,43,44,45,46,47,47,48,48,48,49,49,49,50,50,51,51,51,51
ERI,"ERI (Eritrea): Longitude (lon) = 38,8668; Latitude (lat) = 15,1794",Eritrea,Stunting,Proportion,Point Estimate,44,44,44,45,46,47,48,49,50,51,51,51,52,52,52,52,52,52,52,52,51,51,50
NER,"NER (Niger): Longitude (lon) = 8,0817; Latitude (lat) = 17,6078",Niger,Stunting,Proportion,Point Estimate,53,53,53,52,52,51,51,50,49,49,48,47,47,46,46,46,46,46,46,47,47,47,47
TLS,"TLS (Timor-Leste): Longitude (lon) = 125,8444; Latitude (lat) = -8,8289",Timor0Leste,Stunting,Proportion,Point Estimate,55,55,56,56,57,57,57,57,57,56,55,54,53,52,51,50,49,48,47,47,46,46,45
AGO,"AGO (Angola): Longitude (lon) = 17,8739; Latitude (lat) = -11,2027",Angola,Stunting,Proportion,Point Estimate,47,44,41,38,36,34,33,32,31,31,31,31,32,33,34,36,37,39,40,41,42,43,44
GTM,"GTM (Guatemala): Longitude (lon) = -90,5099; Latitude (lat) = 15,7835",Guatemala,Stunting,Proportion,Point Estimate,53,53,53,53,53,52,52,51,51,50,49,48,47,47,46,46,46,46,45,45,44,44,44
COD,"COD (Democratic Republic of the Congo): Longitude (lon) = 23,6542; Latitude (lat) = -2,8774",Democratic Republic of the Congo,Stunting,Proportion,Point Estimate,46,46,46,46,46,46,46,45,45,44,44,43,43,42,42,42,42,42,42,41,41,41,40
CAF,"CAF (Central African Republic): Longitude (lon) = 20,9394; Latitude (lat) = 6,6111",Central African Republic,Stunting,Proportion,Point Estimate,43,43,43,44,44,44,44,43,43,42,42,41,41,41,41,41,41,41,41,41,40,40,40
MDG,"MDG (Madagascar): Longitude (lon) = 46,8691; Latitude (lat) = -18,7669",Madagascar,Stunting,Proportion,Point Estimate,55,55,55,54,54,53,53,52,51,50,49,48,47,47,46,45,44,43,42,41,40,39,39
MOZ,"MOZ (Mozambique): Longitude (lon) = 35,5296; Latitude (lat) = -18,6657",Mozambique,Stunting,Proportion,Point Estimate,49,48,48,47,47,46,46,46,45,44,44,43,43,42,42,41,41,40,39,39,38,37,36
SDN,"SDN (Sudan): Longitude (lon) = 29,8215; Latitude (lat) = 15,6342",Sudan,Stunting,Proportion,Point Estimate,39,39,39,38,38,38,38,37,37,37,37,36,36,36,36,36,36,37,37,37,36,36,36
YEM,"YEM (Yemen): Longitude (lon) = 48,5154; Latitude (lat) = 15,5524",Yemen,Stunting,Proportion,Point Estimate,55,56,56,56,56,56,56,55,54,52,50,49,47,45,44,42,41,40,39,38,37,36,35
ETH,"ETH (Ethiopia): Longitude (lon) = 39,8938; Latitude (lat) = 9,1450",Ethiopia,Stunting,Proportion,Point Estimate,57,56,55,54,53,51,50,49,48,46,45,43,42,41,40,40,39,38,37,37,36,35,34
NGA,"NGA (Nigeria): Longitude (lon) = 7,4951; Latitude (lat) = 9,0820",Nigeria,Stunting,Proportion,Point Estimate,42,42,41,41,41,41,41,40,40,39,39,38,38,37,37,37,36,36,36,35,35,35,34
MWI,"MWI (Malawi): Longitude (lon) = 34,3015; Latitude (lat) = -13,2543",Malawi,Stunting,Proportion,Point Estimate,56,56,55,55,54,53,53,52,50,49,47,45,44,42,41,39,38,38,37,36,35,35,34
PAK,"PAK (Pakistan): Longitude (lon) = 69,3451; Latitude (lat) = 30,3753",Pakistan,Stunting,Proportion,Point Estimate,40,41,42,43,44,45,46,46,46,46,45,45,44,43,42,41,41,39,38,37,36,35,34
AFG,"AFG (Afghanistan): Longitude (lon) = 66,2385; Latitude (lat) = 33,7680",Afghanistan,Stunting,Proportion,Point Estimate,55,55,54.7,54,54,53,53,52,50,49,47,46,44,43,42,41,39,38,37,36,35,34,33
TCD,"TCD (Chad): Longitude (lon) = 18,7105; Latitude (lat) = 15,4542",Chad,Stunting,Proportion,Point Estimate,42,42,42,43,43,43,43,42,42,41,41,40,39,38,38,37,36,36,35,34,34,33,32
LSO,"LSO (Lesotho): Longitude (lon) = 28,2336; Latitude (lat) = -29,6100",Lesotho,Stunting,Proportion,Point Estimate,42,42,42,42,42,42,42,42,41,41,40,39,38,37,36,35,34,33,33,33,32,32,32
IND,"IND (India): Longitude (lon) = 78,9629; Latitude (lat) = 20,5937",India,Stunting,Proportion,Point Estimate,50,50,49,49,48,48,47,47,46,45,44,43,42,40,39,38,37,36,35,34,34,33,32
VUT,"VUT (Vanuatu): Longitude (lon) = 168,3219; Latitude (lat) = -17,7326",Vanuatu,Stunting,Proportion,Point Estimate,24,24,24,24,25,25,26,26,26,26,27,27,27,27,28,29,29,30,30,31,31,31,31
ZMB,"ZMB (Zambia): Longitude (lon) = 27,8493; Latitude (lat) = -13,1339",Zambia,Stunting,Proportion,Point Estimate,52,52,51,51,50,49,49,48,47,45,44,42,41,40,39,38,37,35,34,33,32,32,31
IDN,"IDN (Indonesia): Longitude (lon) = 113,9213; Latitude (lat) = -0,7893",Indonesia,Stunting,Proportion,Point Estimate,40,40,39,39,38,38,38,38,37,37,36,35,35,34,34,33,33,33,33,32,32,31,31
TZA,"TZA (United Republic of Tanzania): Longitude (lon) = 34,8888; Latitude (lat) = -6,369028",United Republic of Tanzania,Stunting,Proportion,Point Estimate,47,47,46,46,45,44,44,43,42,41,40,39,38,37,36,35,35,34,34,33,32,31,31
MHL,"MHL (Marshall Islands): Longitude (lon) = 171,1845; Latitude (lat) = 7,1315",Marshall Islands,Stunting,Proportion,Point Estimate,40,40,39,39,39,39,38,39,39,39,39,38,37,36,36,35,35,34,34,33,32,31,31
BEN,"BEN (Benin): Longitude (lon) = 2,3158; Latitude (lat) = 9,3077",Benin,Stunting,Proportion,Point Estimate,35,35,35,35,36,36,36,36,36,36,35,35,34,34,33,33,33,33,32,32,31,31,30
RWA,"RWA (Rwanda): Longitude (lon) = 29,8739; Latitude (lat) = -1,9403",Rwanda,Stunting,Proportion,Point Estimate,49,49,49,49,49,49,49,49,48,46,45,43,41,40,38,37,36,35,34,33,32,31,30
SLB,"SLB (Solomon Islands): Longitude (lon) = 160,1562; Latitude (lat) = -9,6457",Solomon Islands,Stunting,Proportion,Point Estimate,31,32,32,32,32,33,33,33,33,33,33,32,32,31,31,31,31,31,31,30,30,30,30
PHL,"PHL (Philippines): Longitude (lon) = 122,8765; Latitude (lat) = 12,8797",Philippines,Stunting,Proportion,Point Estimate,35,34,34,34,34,34,34,33,33,33,33,32,32,32,32,31,31,31,30,30,30,29,29
GIN,"GIN (Guinea): Longitude (lon) = -11,6803; Latitude (lat) = 9,9456",Guinea,Stunting,Proportion,Point Estimate,33,34,34,35,35,36,36,36,36,36,35,34,34,33,33,32,32,31,31,30,29,29,28
SSD,"SSD (South Sudan): Longitude (lon) = 31,3062; Latitude (lat) = 6,8770",South Sudan,Stunting,Proportion,Point Estimate,39,38,38,37,37,36,35,35,34,33,32,31,31,30,30,30,30,30,29,29,29,28,28
